economy,year,GDP_per_capita,Life_expectancy,Healthcare_spending_per_capita,Infant_mortality_rate,Education_expenditure_pct_GDP,Population,income_group,region
COD,2021.0,558.034077296358,60.044,21.58848572,47.1,2.66048474102788,99148932.0,LIC,SSF
COD,2022.0,642.612267148918,60.979,24.38615036,45.8,2.84466514463005,102396968.0,LIC,SSF
COG,2020.0,1993.586671931,64.391,80.09735107,30.2,4.22208879466149,5752791.0,LMC,SSF
COG,2021.0,2516.16255145432,64.192,79.3296051,29.3,3.31281536274069,5892183.0,LMC,SSF
COG,2022.0,2620.83804304713,65.0,50.60568619,28.5,2.72738253259215,6035104.0,LMC,SSF
COL,2020.0,5339.68711357943,74.757,464.9777832,12.0,5.26166009902954,50629997.0,UMC,LCN
COL,2021.0,6222.62164397614,72.698,561.11627197,11.6,,51188173.0,UMC,LCN
COL,2022.0,6680.44506854481,76.508,505.50805664,11.3,,51737944.0,UMC,LCN
COM,2020.0,1527.16990927956,65.756,89.67817688,38.7,2.37805076679617,802163.0,LMC,SSF
COM,2021.0,1587.72988601478,65.201,100.04210663,37.8,2.27485390045927,818174.0,LMC,SSF
COM,2022.0,1533.87755332151,66.481,122.93584442,36.8,2.43164424110924,834188.0,LMC,SSF
CPV,2020.0,3539.22661248299,73.818,235.4349823,12.5,7.09400702406662,514679.0,UMC,SSF
CPV,2021.0,3971.44409203423,74.424,282.93057251,12.0,6.15490303089284,516649.0,UMC,SSF
CPV,2022.0,4323.31362032709,75.907,285.9694519,11.5,4.7252554800722,519741.0,UMC,SSF
CRI,2020.0,12394.0493969354,79.725,969.89099121,8.2,6.62898015975952,5034320.0,HIC,LCN
CRI,2021.0,12838.1185359009,78.05,977.14831543,8.5,6.24841976165771,5059988.0,HIC,LCN
CRI,2022.0,13625.9008491478,79.316,978.84155273,8.8,,5081765.0,HIC,LCN
CSS,2020.0,11925.7573950011,71.9394359303317,801.096390908621,18.219759136336,4.2576699256897,4459302.0,,
CSS,2021.0,13833.3099303464,69.9228107471769,862.759954027604,17.8103424792288,3.00432991981506,4479167.0,,
CSS,2022.0,17355.8366579795,72.8322921090608,944.511679918338,17.3249795510315,2.67331004142761,4497310.0,,
CUB,2020.0,9605.26125067263,77.407,1199.35327148,5.7,11.5248184008093,11176354.0,UMC,LCN
CUB,2021.0,,73.201,,6.0,9.3858620562531,11122168.0,UMC,LCN
CUB,2022.0,,77.629,,6.3,8.44086351669284,11059820.0,UMC,LCN
CUW,2020.0,16356.0933254541,76.501,,,7.11645238834347,154947.0,HIC,LCN
CUW,2021.0,17979.9982909306,75.686,,,6.18160236726664,152369.0,HIC,LCN
CUW,2022.0,20501.7522782219,76.729,,,6.08167033605813,149996.0,HIC,LCN
CYM,2020.0,82338.7982853661,79.23,,,1.45542001724243,68684.0,HIC,LCN
